Reference Code,PPAs,Description,Expected Result,Performance Indicator,Period of Implementation,PS,MOOE,CO,TOTAL,Person Responsible,Recommended Category
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
3000,Purchase of 21 ECCD School Plate,To install various Early Childhood Care and Development (ECCD) School Plates among Day Care Centers of the Barangay for the Day Care Children and Parents to locate it easily.,"The teachers, parents, pupils, and other stakeholders will recognize all of the Day Care centers of the Barangay.","Each 21 ECCD Centers of the barangay will have school plates for teachers, pupils, parents, and other stakeholders to locate easily.",Jun-25,,,160000,160000,SK Kagawad Noriel Cabael,Education Support
